Basin_long_name,GLU_name,Rmap_GLU,GCAM_basin_ID
Arctic_Ocean_Islands,ArcticIsl,Arctic_Ocean_Islands,1
Northwest_Territories,NWTerr,Northwest_Territories,2
Siberia_North_Coast,SiberiaN,Siberia_North_Coast,3
Siberia_West_Coast,SiberiaW,Siberia_West_Coast,4
Kara_Sea_Coast,KaraSea,Kara_Sea_Coast,5
Lena,LenaR,Lena,6
Pacific_and_Arctic_Coast,PacArctic,Pacific_and_Arctic_Coast,7
Scandinavia_North_Coast,ScndnvN,Scandinavia_North_Coast,8
Russia_Barents_Sea_Coast,BarentsSea,Russia_Barents_Sea_Coast,9
Mackenzie,Mackenzie,Mackenzie,10
Iceland,Iceland,Iceland,11
Sweden,Sweden,Sweden,12
Finland,Finland,Finland,13
Northern_Dvina,DvinaRN,Northern_Dvina,14
Hudson_Bay_Coast,HudsonBay,Hudson_Bay_Coast,15
Scotland,Scotland,Scotland,16
Neva,NevaR,Neva,17
Volga,VolgaR,Volga,18
Atlantic_Ocean_Seaboard,CanAtl,Atlantic_Ocean_Seaboard,19
Baltic_Sea_Coast,BalticSea,Baltic_Sea_Coast,20
Denmark_Germany_Coast,DnkGrmCst,Denmark_Germany_Coast,21
Narva,NarvaR,Narva,22
Saskatchewan_Nelson,NelsonR,Saskatchewan_Nelson,23
Ireland,Ireland,Ireland,24
Daugava,DaugavaR,Daugava,25
England_and_Wales,EngWales,England_and_Wales,26
Fraser,FraserR,Fraser,27
Ems_Weser,EmsWeserR,Ems_Weser,28
Oder,OderR,Oder,29
Wisla,WislaR,Wisla,30
Elbe,ElbeR,Elbe,31
Rhine,RhineR,Rhine,32
Poland_Coast,PolandCst,Poland_Coast,33
Churchill,ChurchillR,Churchill,34
Neman,NemanR,Neman,35
Scheldt,ScheldtR,Scheldt,36
Russia_South_East_Coast,RusCstSE,Russia_South_East_Coast,37
Ural,UralR,Ural,38
Dnieper,DnieperR,Dnieper,39
St_Lawrence,StLwrncR,St_Lawrence,40
France_West_Coast,FranceCstW,France_West_Coast,41
Gobi_Interior,Gobi,Gobi_Interior,42
Amur,AmurR,Amur,43
Loire,LoireR,Loire,44
Caspian_Sea_Coast,CaspianNE,Caspian_Sea_Coast,45
Seine,SeineR,Seine,46
Black_Sea_North_Coast,BlackSeaN,Black_Sea_North_Coast,47
Yenisei,YeniseiR,Yenisey,48
Dniester,DniesterR,Dniester,49
Italy_East_Coast,ItalyCstE,Italy_East_Coast,50
Japan,Japan,Japan,51
Caspian_Sea_East_Coast,CaspianE,Caspian_Sea_East_Coast,52
Don,DonR,Don,53
Danube,DanubeR,Danube,54
Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,Adriatic_Sea_Greece_Black_Sea_Coast,55
Ob,ObR,Ob,56
Po,PoR,Po,57
Amu_Darya,AmuDaryaR,Amu_Darya,58
Italy_West_Coast,ItalyCstW,Italy_West_Coast,59
Spain_Portugal_Atlantic_Coast,IberiaCst,Spain_Portugal_Atlantic_Coast,60
France_South_Coast,FranceCstS,France_South_Coast,61
Rhone,RhoneR,Rhone,62
Mediterranean_Sea_Islands,MeditIsl,Mediterranean_Sea_Islands,63
Gironde,Gironde,Gironde,64
North_and_South_Korea,Korea,North_and_South_Korea,65
Bo_Hai_Korean_Bay_North_Coast,BoHai,Bo_Hai_Korean_Bay_North_Coast,66
Spain_South_and_East_Coast,SpainCstSE,Spain_South_and_East_Coast,67
Lake_Balkash,LBalkash,Lake_Balkash,68
Tiber,TiberR,Tiber,69
Black_Sea_South_Coast,BlackSeaS,Black_Sea_South_Coast,70
Tagus,TagusR,Tagus,71
Caspian_Sea_South_West_Coast,CaspianSW,Caspian_Sea_South_West_Coast,72
Ebro,EbroR,Ebro,73
Douro,DouroR,Douro,74
Mediterranean_Sea_East_Coast,MeditE,Mediterranean_Sea_East_Coast,75
Syr_Darya,SyrDaryaR,Syr_Darya,76
Ziya_He_Interior,ZiyaHe,Ziya_He_Interior,77
China_Coast,ChinaCst,China_Coast,78
Huang_He,HuangHeR,Huang_He,79
Mediterranean_South_Coast,MeditS,Mediterranean_South_Coast,80
Guadiana,GuadianaR,Guadiana,81
Central_Iran,Iran,Central_Iran,82
Guadalquivir,GuadalqR,Guadalquivir,83
Tigris_Euphrates,TigrEuphR,Tigris_Euphrates,84
Tarim_Interior,Tarim,Tarim_Interior,85
Africa_North_West_Coast,AfrCstNW,Africa_North_West_Coast,86
Nile,NileR,Nile,87
Persian_Gulf_Coast,PersianGulf,Persian_Gulf_Coast,88
Indus,IndusR,Indus,89
Farahrud,FarahrudR,Farahrud,90
Baja_California,MexBaja,Baja_California,91
Plateau_of_Tibet_Interior,Tibet,Plateau_of_Tibet_Interior,92
Red_Sea_East_Coast,RedSeaE,Red_Sea_East_Coast,93
Arabian_Peninsula,ArabianP,Arabian_Peninsula,94
Dead_Sea,DeadSea,Dead_Sea,95
Mexico_Northwest_Coast,MexCstNW,Mexico_Northwest_Coast,96
Helmand,Helmand,Helmand,97
Sinai_Peninsula,SinaiP,Sinai_Peninsula,98
Eastern_Jordan_Syria,EJrdnSyr,Eastern_Jordan_Syria,99
Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,Africa_Red_Sea_Gulf_of_Aden_Coast,100
Caribbean,Caribbean,Caribbean,101
HamuniMashkel,HamuMashR,Hamun_i_Mashkel,102
Taiwan,Taiwan,Taiwan,103
Arabian_Sea_Coast,ArabianSea,Arabian_Sea_Coast,104
North_Gulf,MexGulf,North_Gulf,105
Yangtze,Yangtze,Yangtze,106
Sabarmati,SabarmatiR,Sabarmati,107
Xun_Jiang,XunJiang,Xun_Jiang,108
Hong_(Red_River),Hong,Hong_Red_River,109
Ganges_Bramaputra,GangesR,Ganges_Bramaputra,110
Yucatan_Peninsula,YucatanP,Yucatan_Peninsula,111
South_China_Sea_Coast,SChinaSea,South_China_Sea_Coast,112
Mahi,MahiR,Mahi,113
Mexico_Interior,MexInt,Mexico_Interior,114
Pacific_Central_Coast,MexCstW,Pacific_Central_Coast,115
Bay_of_Bengal_North_East_Coast,BengalBay,Bay_of_Bengal_North_East_Coast,116
Tapti,TaptiR,Tapti,117
Yasai,BengalW,Yasai,118
Philippines,Phlppns,Philippines,119
Brahmani,BrahmaniR,Brahamani,120
North_Marina_Islands_and_Guam,Guam,North_Marina_Islands_and_Guam,121
Mahanadi,MahanadiR,Mahandi,122
Godavari,GodavariR,Godavari,123
Hainan,Hainan,Hainan,124
Mekong,Mekong,Mekong,125
Viet_Nam_Coast,VietnamCst,Viet_Nam_Coast,126
Salween,Salween,Salween,127
India_North_East_Coast,IndCstNE,India_North_East_Coast,128
India_West_Coast,IndCstW,India_West_Coast,129
Papaloapan,Papaloapan,Papaloapan,130
Rio_Lerma,RioLerma,Rio_Lerma,131
Rio_Verde,RioVerde,Rio_Verde,132
Grijalva_Usumacinta,GrijUsuR,Grijalva_Usumacinta,133
Rio_Balsas,RioBalsas,Rio_Balsas,134
Southern_Central_America,CntAmer,Southern_Central_America,135
Isthmus_of_Tehuantepec,Tehuantpc,Isthmus_of_Tehuantepec,136
Irrawaddy,IrrawaddyR,Irrawaddy,137
Sittaung,SittaungR,Sittang,138
Peninsula_Malaysia,MalaysiaP,Peninsula_Malaysia,139
Krishna,KrishnaR,Krishna,140
Andaman_Nicobar_Islands,AdnNicIsl,Andaman_Nicobar_Islands,141
Africa_West_Coast,AfrCstW,Africa_West_Coast,142
Caribbean_Coast,SAmerCstN,Caribbean_Coast,143
Africa_North_Interior,AfrIntN,Africa_North_Interior,144
India_East_Coast,IndCstE,India_East_Coast,145
Chao_Phraya,ChaoPhrR,Chao_Phraya,146
Pennar,PennarR,Pennar,147
Gulf_of_Thailand_Coast,ThaiGulf,Gulf_of_Thailand_Coast,148
Niger,NigerR,Niger,149
Micronesia,Micronesia,Micronesia,150
Lake_Chad,LChad,Lake_Chad,151
Senegal,SenegalR,Senegal,152
Cauvery,CauveryR,Cauvery,153
Sri_Lanka,SriLanka,Sri_Lanka,154
India_South_Coast,IndCstS,India_South_Coast,155
Orinoco,OrinocoR,Orinoco,156
Colombia_Ecuador_Pacific_Coast,ColEcuaCst,Colombia_Ecuador_Pacific_Coast,157
Palau_and_East_Indonesia,IdnE,Palau_and_East_Indonesia,158
North_Borneo_Coast,BorneoCstN,North_Borneo_Coast,159
Volta,VoltaR,Volta,160
Northeast_South_America_South_Atlantic_Coast,SAmerCstNE,Northeast_South_America_South_Atlantic_Coast,161
Gulf_of_Guinea,GuineaGulf,Gulf_of_Guinea,162
Sumatra,Sumatra,Sumatra,163
Sulawesi,Sulawesi,Sulawesi,164
Kalimantan,Kalimantan,Kalimantan,165
Magdalena,MagdalenaR,Magdalena,166
Irian_Jaya_Coast,IrianJaya,Irian_Jaya_Coast,167
Amazon,AmazonR,Amazon,168
South_Chile_Pacific_Coast,ChileCstS,South_Chile_Pacific_Coast,169
Shebelli_Juba,ShebJubR,Shebelli_Juba,170
Africa_East_Central_Coast,AfrCstE,Africa_East_Central_Coast,171
North_Brazil_South_Atlantic_Coast,BrzCstN,North_Brazil_South_Atlantic_Coast,172
Papua_New_Guinea_Coast,PapuaCst,Papua_New_Guinea_Coast,173
Tocantins,TocantinsR,Tocantins,174
Java_Timor,JavaTimor,Java_Timor,175
Solomon_Islands,SolomonIsl,Solomon_Islands,176
Madagascar,Madagascar,Madagascar,177
Sepik,SepikR,Sepik,178
Rift_Valley,RiftValley,Rift_Valley,179
Peru_Pacific_Coast,PeruCst,Peru_Pacific_Coast,180
Fly,FlyR,Fly,181
Angola_Coast,AngolaCst,Angola_Coast,182
Congo,CongoR,Congo,183
Australia_North_Coast,AusCstN,Australia_North_Coast,184
South_Pacific_Islands,NewCaledn,South_Pacific_Islands,185
East_Brazil_South_Atlantic_Coast,BrzCstE,East_Brazil_South_Atlantic_Coast,186
Parnaiba,ParnaibaR,Parnaiba,187
Zambezi,ZambeziR,Zambezi,188
Australia_East_Coast,AusCstE,Australia_East_Coast,189
Africa_Indian_Ocean_Coast,AfrCstSE,Africa_Indian_Ocean_Coast,190
Australia_West_Coast,AusCstW,Australia_West_Coast,191
Sao_Francisco,SaoFrancR,Sao_Francisco,192
Australia_Interior,AusInt,Australia_Interior,193
Orange,OrangeR,Orange,194
Uruguay_Brazil_South_Atlantic_Coast,BrzCstS,Uruguay_Brazil_South_Atlantic_Coast,195
Namibia_Coast,AfrCstSW,Namibia_Coast,196
Africa_South_Interior,AfrIntS,Africa_South_Interior,197
South_Africa_South_Coast,AfrCstS,South_Africa_South_Coast,198
Limpopo,LimpopoR,Limpopo,199
La_Puna_Region,LaPuna,La_Puna_Region,200
New_Zealand,NewZealand,New_Zealand,201
Australia_South_Coast,AusCstS,Australia_South_Coast,202
Mar_Chiquita,MarChiq,Mar_Chiquita,203
South_Africa_West_Coast,AfrCstSSW,South_Africa_West_Coast,204
Salinas_Grandes,Salinas,Salinas_Grandes,205
La_Plata,RioLaPlata,La_Plata,206
North_Chile_Pacific_Coast,ChileCstN,North_Chile_Pacific_Coast,207
Murray_Darling,MurrayDrlg,Murray_Darling,208
Pampas_Region,Pampas,Pampas_Region,209
North_Argentina_South_Atlantic_Coast,ArgCstN,North_Argentina_South_Atlantic_Coast,210
Tasmania,Tasmania,Tasmania,211
South_America_Colorado,ArgColoR,South_America_Colorado,212
Negro,NegroR,Negro,213
Central_Patagonia_Highlands,Patagonia,Central_Patagonia_Highlands,214
South_Argentina_South_Atlantic_Coast,ArgCstS,South_Argentina_South_Atlantic_Coast,215
Antarctica,Antarctica,Antarctica,216
California_River_Basin,California,California_River,217
Upper_Mississippi_Basin,MissppRN,Upper_Mississippi,218
Lower_Mississippi_River_Basin,MissppRS,Lower_Mississippi_River,219
Upper_Colorado_River_Basin,UsaColoRN,Upper_Colorado_River,220
Lower_Colorado_River_Basin,UsaColoRS,Lower_Colorado_River,221
Great_Basin,GreatBasin,Great,222
Missouri_River_Basin,MissouriR,Missouri_River,223
Arkansas_White_Red_Basin,ArkWhtRedR,Arkansas_White_Red,224
Texas_Gulf_Coast_Basin,TexasCst,Texas_Gulf_Coast,225
South_Atlantic_Gulf_Basin,UsaCstSE,South_Atlantic_Gulf,226
Great_Lakes_Basin,GreatLakes,Great_Lakes,227
Ohio_River_Basin,OhioR,Ohio_River,228
Pacific_Northwest_Basin,UsaPacNW,Pacific_Northwest,229
Tennessee_River_Basin,TennR,Tennessee_River,230
Rio_Grande_River_Basin,RioGrande,Rio_Grande_River,231
New_England_Basin,UsaCstNE,New_England,232
Mid_Atlantic_Basin,UsaCstE,Mid_Atlantic,233
Hawaii,Hawaii,Hawaii,234
Narmada,NarmadaR,Narmada,235
